# AES Davies-Meyer (index 0)
# bytes hashesPerSecond
5 1.2632e+07
5 1.2638e+07
9 1.1239e+07
17 9.434e+06
33 6.84e+06
65 5.605e+06
130 4.037e+06
260 2.552e+06
520 1.473e+06
1040 797000
2080 418000
4160 213786
8320 107570
16640 53571.4
33280 26367.2
66560 12720.2
133120 6896.55
266240 3436.43
532480 1718.21
1064960 859.107


# MD5 (index 1)
# bytes hashesPerSecond
5 4.091e+06
5 4.091e+06
9 4.09e+06
17 4.091e+06
33 4.078e+06
65 2.573e+06
130 1.938e+06
260 1.319e+06
520 802000
1040 435000
2080 234000
4160 119641
8320 60455.9
16640 30067.9
33280 14634.1
66560 7874.02
133120 3921.57
266240 1960.78
532480 979.432
1064960 489.716


# SHA-1 (index 2)
# bytes hashesPerSecond
5 3.862e+06
5 3.862e+06
9 3.86e+06
17 3.863e+06
33 3.848e+06
65 2.429e+06
130 1.79e+06
260 1.183e+06
520 698000
1040 376000
2080 201000
4160 102000
8320 51434.2
16640 25465.2
33280 12345.7
66560 6711.41
133120 3367
266240 1669.45
532480 835.422
1064960 417.537


# SHA-256 (index 3)
# bytes hashesPerSecond
5 2.462e+06
5 2.465e+06
9 2.467e+06
17 2.469e+06
33 2.469e+06
65 1.442e+06
130 1.037e+06
260 663000
520 376000
1040 207000
2080 108782
4160 54726.4
8320 27343.8
16640 13346
33280 7246.38
66560 3610.11
133120 1808.32
266240 903.342
532480 451.875
1064960 225.734


# SHA-512 (index 4)
# bytes hashesPerSecond
5 1.699e+06
5 1.699e+06
9 1.699e+06
17 1.699e+06
33 1.699e+06
65 1.697e+06
130 963000
260 678000
520 413586
1040 240759
2080 130869
4160 68114.5
8320 33898.3
16640 16666.7
33280 8928.57
66560 4444.44
133120 2227.17
266240 1113.59
532480 556.793
1064960 278.242


# SHA3-256 (index 5)
# bytes hashesPerSecond
5 1.618e+06
5 1.619e+06
9 1.62e+06
17 1.619e+06
33 1.617e+06
65 1.612e+06
130 1.599e+06
260 846000
520 422000
1040 215354
2080 108782
4160 56047.2
8320 27640.7
16640 13487.5
33280 7299.27
66560 3636.36
133120 1818.18
266240 909.091
532480 454.339
1064960 227.015


# SHA3-512 (index 6)
# bytes hashesPerSecond
5 1.616e+06
5 1.616e+06
9 1.617e+06
17 1.616e+06
33 1.613e+06
65 1.607e+06
130 852000
260 425574
520 217348
1040 117000
2080 60515.9
4160 29880.5
8320 14506.8
16640 7751.94
33280 3891.05
66560 1945.53
133120 971.817
266240 485.909
532480 242.777
1064960 121.374


# BLAKE2b-512 (index 7)
# bytes hashesPerSecond
5 3.596e+06
5 3.596e+06
9 3.596e+06
17 3.591e+06
33 3.597e+06
65 3.606e+06
130 2.109e+06
260 1.481e+06
520 940000
1040 542000
2080 287139
4160 150398
8320 76693.2
16640 38085.9
33280 18609.2
66560 9900.99
133120 4926.11
266240 2457
532480 1228.5
1064960 614.251


# BLAKE2s-256 (index 8)
# bytes hashesPerSecond
5 4.644e+06
5 4.646e+06
9 4.646e+06
17 4.621e+06
33 4.67e+06
65 2.843e+06
130 2.067e+06
260 1.32e+06
520 774000
1040 413174
2080 217348
4160 111554
8320 55776.9
16640 27532
33280 13320.6
66560 7194.24
133120 3584.23
266240 1788.91
532480 893.655
1064960 446.828


